comment_id,original_text,comment_text,platform,date_collected,collector,has_emoji,label
2112,,Chị oiii gái Nhật có đẹp thiệt hong. Em thấy nhiều ý kiến trái chiều nên em tò mò quó. Em cũng muốn đi du học Nhật❤,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
2208,,nghe cắn giòn tan ngon quá,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
339,,Người này sao gầy nổi,Facebook,10/20/2025 8:47:52,Nga,,Mỉa mai
6556,,"Tệ quá, thiếu trách nhiệm vs bản thân",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
6989,,"Bình chọn thì ko ai qua dc Việt Nam mà Em ấy đẹp và giỏi quá, hy vọng được giải cao",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3146,,Cái thứ hai như móc lôn,YOUTUBE,L3,Ngọc,,Xúc phạm
2783,,"Đẹp thiệt nha, da mặt siêu đẹp❤",YOUTUBE,L2,Ngọc,,Không xúc phạm
3071,,Mặt cả tấn lớp makeup á,YOUTUBE,L3,Ngọc,,Xúc phạm
6676,,Con gái nên tối đa chỉ 60kg thôi !,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
756,,Kinh dị trời,Facebook,26/10/2025,Nga,,Xúc phạm
3485,,Bả kia piến thái z,YOUTUBE,L3,Ngọc,,Không xúc phạm
1184,,trai chết hết cũng ko lấy ông này,Facebook,03/12/2025,Nga,,Không xúc phạm
4578,,t thấy thằg đấy đẹp hơn khối thk rồi,Tiktok,19/10/2025,Nhung,,Không xúc phạm
5628,,Xinhhh lắmmmm c ui 🫰🫰🫰,Tiktok,13/12/2005,Nhung,,Không xúc phạm
1958,,"Chị 27 vẫn vui vẻ thui, bồ bịch gì đâu 😂",YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
327,,2 cái sụn tai còn nguyên kìa đừng có đồn nữa mấy chị ơi,Facebook,10/20/2025 8:43:50,Nga,,Không xúc phạm
6547,,"Người đàn ông yêu người phụ nữ không phải ở sắc vóc, mà yêu ở tính cách và cách sống đó mới là thật sự yêu thương mình",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
6687,,khâm phục nha bạn,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
6721,,Có nghị lực và xinh quá. Ngưỡng mộ em!,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3243,,Tu tiên giờ dễ quá nhỉ. Phấn son và đt cộng 1 đống app làm đẹp là thành cảnh giới cao nhất từ tiên,YOUTUBE,L3,Ngọc,,Mỉa mai
6201,,MỚI ĐẺ XONG HAY SAO MÀ HƠI MẬP NHỈ ,VnExpress, 27/10/2025,Phúc,,Xúc phạm
3359,,Tui đc thằng crush hỏi ngược lại là mày có thích tao ko,YOUTUBE,L3,Ngọc,,Không xúc phạm
2058,,Lỡ lần này thoy nha chị,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
1083,,cái mỏ vẩu thấy gớm,Facebook,03/12/2025,Nga,,Xúc phạm
936,,Trời ơi 2! Bả đẹp hết nước chấm luôn á,Facebook,03/12/2025,Nga,,Không xúc phạm
4566,,ko quỳ đấy lmj đc nhau =),Tiktok,19/10/2025,Nhung,,Không xúc phạm
4213,,in4 set Hello Kitty Cổ mặc ở đây ạ⤵️⤵️⤵,Tiktok,19/10/2025,Nhung,,Không xúc phạm
427,,Tôi đang xem gì thế này @@,Facebook,10/20/2025 9:18:06,Nga,,Không xúc phạm
6411,,"Mình không cảm thấy cô này mặc đẹp cho dù dát hàng hiệu đầy người, chỉ có bộ áo lông ngắn màu nâu còn được. Bộ tím từ đầu đến chân, tím cả giày và túi thì thật là phí cho từng món đồ khi kết hợp một cách tẻ nhạt như vậy",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
7424,,Hêt nét đep tư nhiên. Ghe qua. Thik net dep luc xưa hơn,VnExpress, 19/12/2025,Phúc,,Xúc phạm
27,,ba gil chăm mẻ ok quáa,Facebook,10/18/2025 21:13:01,Nga,,Không xúc phạm
4515,,ông s1 tự tin ớt cao hơn ớt tb ng vn đấy mn ơi húp vội😂😂😂,Tiktok,19/10/2025,Nhung,,Không xúc phạm
2156,,Quá trời cái miệng lanh lợi nên chắc học tiếng Nhật sẽ giỏi thôi. 🎉,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
3835,,Sao mình thấy bên nào cũng đẹp nhỉ mỗi nước đều có điểm đẹp của nó và có lịch sử của mỗi đất nước đều đẹp hết hko chê cũng chẳng khen,YOUTUBE,L3,Ngọc,,Không xúc phạm
1050,,body này đi tớ đâu bóp méo không gian tới đó,Facebook,03/12/2025,Nga,,Mỉa mai
1618,,"Sao t nhớ tới con cún nhà t=)))) giống vl thề
",Facebook,13/12/2025,Nga,,Không xúc phạm
6145,,"Rất tuyệt vời xin cảm ơn tác giả ,cảm ơn soạn giả đã đăng bài",VnExpress, 27/10/2025,Phúc,,Không xúc phạm
5832,,nam vương lè khe,Facebook,19/10/2025,Phúc,,Mỉa mai
5814,,baby boy mắt lè khe là đây,Facebook,19/10/2025,Phúc,,Mỉa mai
1113,,"Zú cậu có độc, tớ bú ra giúp được ko",Facebook,03/12/2025,Nga,,Không xúc phạm
2385,,Tới tiệm đó là bé sợ lần sau đừng cho bé tới đó nữa Kí cục,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
2908,,Vì e xấu quá a k muốn đi😃😃😂😅😅😂😂😂,YOUTUBE,L2,Ngọc,,Xúc phạm
2442,,"Bé này giỏi thật nhưng làm gì thì làm phải cẩn thận thuế má an toàn thực phẩm xuất xứ nguồn gốc nguyên liệu nhập vào cho rỏ ràng nhé ,chúc vợ chồng nhân thành công.",YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
3987,,sướng nhất lê tú,Tiktok,19/10/2025,Nhung,,Không xúc phạm
3576,,Cách để nhận biết là mặt con trai dài và thon hơn,YOUTUBE,L3,Ngọc,,Không xúc phạm
4225,,ngồi này là vừa tầm luôn ấy 😅😅😅,Tiktok,19/10/2025,Nhung,,Không xúc phạm
2341,,Hi,YOUTUBE,19/10/2025,NGỌC,,
7131,,"Cũng tạm, tầm vợ tôi thôi.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
2364,,❤❤❤❤ yêu bối,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
5327,,vẫn là cái vibe tình đầuuuu,Tiktok,13/12/2005,Nhung,,Không xúc phạm
5911,,cục tạ 5kg sẽ là món ăn khai vị của cô ấy,Facebook,19/10/2025,Phúc,,Mỉa mai
1353,,Thử tẩy trang xem đẹp hay xấu nào,Facebook,03/12/2025,Nga,,Mỉa mai
6580,,"Ờ, công nhận......cũng đẹp, gần bằng mình :)) :))",VnExpress, 14/12/2025,Phúc,,Mỉa mai
5638,,Đẹp vaiii,Tiktok,13/12/2005,Nhung,,Không xúc phạm
5073,,U mê k lối thoata,Tiktok,3/12/2025,Nhung,,Không xúc phạm
3256,,Công chúa già còn hơn thái hậu nữa😂😂,YOUTUBE,L3,Ngọc,,Không xúc phạm
535,,Nay nhìn ốm yếu thế,Facebook,10/20/2025 13:55:47,Nga,,Không xúc phạm
4396,,nami ơi nami,Tiktok,19/10/2025,Nhung,,Không xúc phạm
6524,,"Theo Tổ chức Y tế Thế giới, mỗi người nên ăn ít nhất 400 g rau, củ, quả mỗi ngày, vừa nâng cao sức đề kháng, giúp cơ thể khỏe khoắn, gọn gàng vừa có thể phòng các bệnh mạn tính liên quan tới dinh dưỡng như ung thư dạ dày, ung thư đại trực tràng và các bệnh tim mạch.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
5294,,sao cười đẹp như thế đc vậy 😔,Tiktok,13/12/2005,Nhung,,Không xúc phạm
656,,Ai vạn người mê chứ không có tui nha cha . Tui chê nha 😂😂😂,Facebook,26/10/2025,Nga,,Không xúc phạm
536,,"Béo phì cứ chubby chubby, tự nhận mình béo phì đi đã r ngta sẽ ủng hộ body bạn",Facebook,10/20/2025 13:57:22,Nga,,Xúc phạm
1224,,Thân hình quá vạm vỡ,Facebook,03/12/2025,Nga,,Không xúc phạm
4426,,em chx bt cảm giác ntn,Tiktok,19/10/2025,Nhung,,Không xúc phạm
6394,,"Hình như có mấy lần đi ăn cưới cổ bị chê mặc đồ hở quá, nên chuyển qua mặc kín.
Vấn đề trang phục lần này là màu sắc ko phù hợp, ngoài ra phối phụ kiện và cách trang điểm cũng ko ăn nhập. Trang điểm đạm quá, trong khi trang phục lại chất liệu lụa kiểu đơn giản, nó ko ăn nhập. Kiểu tóc búi nhìn ở ngoài có thể đẹp nhưng lên hình bị già hơn tuổi thật. Nên xem xét lại phong cách thời trang.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
987,,Lúc thì bảo là mình mặt học sinh body phụ huynh giờ lại bảo u40 vch,Facebook,03/12/2025,Nga,,Mỉa mai
1011,,Mẫu người con gái tui thích là đây,Facebook,03/12/2025,Nga,,Không xúc phạm
2170,,Nhân giỏi ❤❤❤❤❤số 1,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
6150,,"Quá đẹp, hơn chán vạn mấy cô hoa hậu ngày nay",VnExpress, 27/10/2025,Phúc,,Không xúc phạm
3314,,"Mặt ko đẹp đc cái dáng chuẩn, ngực múo 😮",YOUTUBE,L3,Ngọc,,Không xúc phạm
1303,,lưng chị này bị gù nên trông ko tự tin. Cải thiện dáng lại là đẹp,Facebook,03/12/2025,Nga,,Không xúc phạm
7048,,"Wow, ko nghĩ người Đức có thể đạt danh hiệu HHTG vì họ ko chú trọng vào các cuộc thi nhan sắc",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
1649,,Ê nha hok có quyến gũ toai,Facebook,13/12/2025,Nga,,Không xúc phạm
6972,,"Chúc mừng Bảo Ngọc nhe, cố lên, đã đăng quang hoa hậu liên lục địa rồi,bây giờ thêm đăng quang hoa hậu thế giới nữa nhé.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
612,,Khiếp hết hồn đang lướt Facebook giật cả mình toàn răng là răng,Facebook,26/10/2025,Nga,,Không xúc phạm
3232,,Đẹp sẵn rồi diễn xíu để dễ nổi tiếng 😮,YOUTUBE,L3,Ngọc,,Không xúc phạm
6156,,"Bà đẹp quá, kiểu đẹp của người Á Đông",VnExpress, 27/10/2025,Phúc,,Không xúc phạm
4743,,tại mấy cái fage cứ khen bả xinh. nên bả tưởng thật🤣🤣🤣,Tiktok,2/12/2025,Nhung,,Mỉa mai
4446,,"🙂 Sao tự nhiên xoạc hán ra vạy , xợ ..",Tiktok,19/10/2025,Nhung,,Xúc phạm
878,,Đt tui chụp ảnh em nó lưu ko đc vì nặng quá,Facebook,26/10/2025,Nga,,Mỉa mai
6763,,Mình lại thích eo to.,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
5267,,ui anh này xink trai v :000 tự nhiên tiếp năng lượng ghiaaa 🤭,Tiktok,13/12/2005,Nhung,,Không xúc phạm
2805,,"Tóc này phù hợp với bạn, nhìn xinh",YOUTUBE,L2,Ngọc,,Không xúc phạm
2676,,lon nước đó chắc nhiều ae thích lắm,YOUTUBE,L2,Ngọc,,Không xúc phạm
3272,,1 bà mắt đẹp hơn mà lị,YOUTUBE,L3,Ngọc,,Không xúc phạm
4417,,khó thở quá:),Tiktok,19/10/2025,Nhung,,Mỉa mai
5571,,Màu ảnh đẹp dữ,Tiktok,13/12/2005,Nhung,,Không xúc phạm
2406,,Làm đầu lại nhìn bé xinh quá,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
2590,,Hai chị em thấy thương!,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
791,,nữ chính bị dán mặt cho xấu chứ cổ đẹp mà,Facebook,26/10/2025,Nga,,Không xúc phạm
3942,,Nhìn thẩm tương mặt dài cũng lạ mà xấu cũng không đẹp 😂,YOUTUBE,L3,Ngọc,,Xúc phạm
2836,,Xấu de so,YOUTUBE,L2,Ngọc,,Xúc phạm
5945,,giống quá ko cãi được,Facebook,19/10/2025,Phúc,,Không xúc phạm
3641,,Ngực đâu ra mà đeo thế mấy ông 😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮😮,YOUTUBE,L3,Ngọc,,Mỉa mai
609,,Đẹp xuất sắc Luna ơiii,Facebook,26/10/2025,Nga,,Không xúc phạm
7212,,"Có giải thưởng top 8 luôn ạ, tôi thấy lạ có top 17 hay top 14 gì đó vậy có top 101 không ạ?",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
2699,,Terre đẹp trai vãi 😂,YOUTUBE,L2,Ngọc,,Không xúc phạm
5977,,Xinh đẹp quá,VnExpress, 26/10/2025,Phúc,,Không xúc phạm
82,,"Khi người ta muốn làm bom nguyên tử, họ đã xin cô ta một ít mỡ.",Facebook,10/18/2025 21:30:36,Nga,,Xúc phạm
3151,,Như mấy thằng nghiện,YOUTUBE,L3,Ngọc,,Xúc phạm
4320,,chị ơi,Tiktok,19/10/2025,Nhung,,Không xúc phạm
5673,,Ko cần eo . Đã là Ngọc Trinh là chặt đẹp rồi . Đẹp như Ngọc Trinh 😍😍,Tiktok,13/12/2005,Nhung,,Không xúc phạm
1783,,"Ngon quá y heo rừng kho măng
",Facebook,13/12/2025,Nga,,Xúc phạm
1972,,"Em còn định bảo bạn í, em 32 không sao đâu kkk. C đẹp tuyệt vời. Tốt xấu không do người khác hay có nửa kia không…",YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
5457,,Quá đã lun,Tiktok,13/12/2005,Nhung,,Không xúc phạm
3059,,Hình như chủ kênh rút xương ổng á😂,YOUTUBE,L3,Ngọc,,Không xúc phạm
2436,,Làm ăn chân chính thuế mà đầy đủ nhé sẽ có hậu,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
291,,Chị dáng hình chữ nhật nên k có thắt eo,Facebook,10/20/2025 8:10:13,Nga,,Không xúc phạm
6090,,WOw em này đẹp quá,VnExpress, 27/10/2025,Phúc,,Không xúc phạm
4761,,"Đừng to6 nha chứ vẫn thấy quỳnh khá là xinh, dù có phát ngôn ko đúng á 😭",Tiktok,2/12/2025,Nhung,,Không xúc phạm
7224,,Ôi! Em Belarus của tui đâu mất tiu gồi,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
6635,,"Bí quyết của các cô là có tiền, có tiền là đẹp thôi.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3579,,trum cuoi la gai tat,YOUTUBE,L3,Ngọc,,Không xúc phạm
619,,Ko có tuổi so với Trần Đức Bo :))),Facebook,26/10/2025,Nga,,Không xúc phạm
4812,,Con thùng phi,Tiktok,2/12/2025,Nhung,,Xúc phạm
5202,,xoay chân thon thẳng gọn đẹp mắt. mê,Tiktok,3/12/2025,Nhung,,Không xúc phạm
5463,,Mồm tươi rói,Tiktok,13/12/2005,Nhung,,Không xúc phạm
2533,,Nhìn bối nhẩy xong bối với bơ mặc quần áo đáng yêu ghê ❤,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
3988,,Phương thy có ăn đc ko ta,Tiktok,19/10/2025,Nhung,,Không xúc phạm
2360,,Bối thông minh ghê ❤,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
5841,,cứ ngỡ tài điếc,Facebook,19/10/2025,Phúc,,Không xúc phạm
4277,,xinh quá,Tiktok,19/10/2025,Nhung,,Không xúc phạm
5410,,Ê cười lên duyên ghê,Tiktok,13/12/2005,Nhung,,Không xúc phạm
4108,,sớm,Tiktok,19/10/2025,Nhung,,Không xúc phạm
5723,,Tôi thấy cô này đẹp hơn Thùy Tiên rất nhiều.,VnExpress,19/10/2025,Phúc,,Không xúc phạm
1181,,múi hay cái núi dị b,Facebook,03/12/2025,Nga,,Không xúc phạm
4779,,trông như con vịt ấy dm,Tiktok,2/12/2025,Nhung,,Xúc phạm
860,,có chửa hả má,Facebook,26/10/2025,Nga,,Xúc phạm
4594,,ako lang ba Pilipino dito?,Tiktok,19/10/2025,Nhung,,
4756,,6 vcc,Tiktok,2/12/2025,Nhung,,Mỉa mai
5223,,đẹp mê,Tiktok,3/12/2025,Nhung,,Không xúc phạm
2310,,Bếi cũng biết đòi bông để múa,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
1987,,Muốn có bồ😂🎉❤,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
6220,,Em đẹp quá!,VnExpress, 27/10/2025,Phúc,,Không xúc phạm
4229,,xin link set trong vd,Tiktok,19/10/2025,Nhung,,Không xúc phạm
3888,,N9 nay gây tonng gây teo nhìn k uy nghiêm k đẹp lắm,YOUTUBE,L3,Ngọc,,Mỉa mai
1612,,Ăn bún nước lèo riết bị béo. Béo nước lùn,Facebook,13/12/2025,Nga,,Mỉa mai
2905,,Tác dụng phụ của tuổi già,YOUTUBE,L2,Ngọc,,Không xúc phạm
2633,,Mình nghĩ không nên lạm dụng AI trong mấy cái n tại mình nghĩ với những thứ đơn giản như n thì dụng AI là ko cần thiết ạ,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
7052,,"Ngày xưa xem phim thấy mê gái tây, gái Trung, gái Nhật chứ giờ hơn 30 rồi chỉ thấy gái Việt đẹp và phù hợp nhất. Em hoa hậu này lên hình thì mê vậy thôi chứ ra ngoài gái tây nó sao sao ấy.",VnExpress, 14/12/2025,Phúc,,Không xúc phạm
931,,Đẹp dử z 3,Facebook,03/12/2025,Nga,,Không xúc phạm
7144,,Em này đẹp wa.,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3193,,Vợ người ta đẹp còn mình thì xấu,YOUTUBE,L3,Ngọc,,Không xúc phạm
7035,,Hoa hậu QT 2022 đẹp nhất trong các hoa hậu -các người đẹp khác đừng dại mà đứng cạnh nàng này,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
4179,,Cố Lên Chị🥺🥰🥰,Tiktok,19/10/2025,Nhung,,Không xúc phạm
2649,,Tui cũng o ưa gì. Ba cái dân. Bộ nha 😮😢😅,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
5689,,Từ khi đăng quang đến giờ tôi luôn thấy em đẹp. Mong mọi điều tốt đẹp đến với em.,VnExpress,19/10/2025,Phúc,,Không xúc phạm
6623,,Nhìn ko mập nhưng quý phái chứ gầy thì mất vẻ quý phái này.,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
1356,,cái đầm này chỉ hợp đi chên thảm đỏ trứ đi trên sân với đường quê thì thôi nhé nuôn,Facebook,03/12/2025,Nga,,Không xúc phạm
3350,,Con mie nó ngon vcl,YOUTUBE,L3,Ngọc,,Không xúc phạm
1860,,"Tóc búi giản dị, mặt trang điểm nhẹ nhàng. Đáng yêu",Facebook,13/12/2025,Nga,,Không xúc phạm
1352,,Nếu bỏ son phấn tôi mới tin 😅😅,Facebook,03/12/2025,Nga,,Mỉa mai
5488,,xinh thế phải xh thôi 😹,Tiktok,13/12/2005,Nhung,,Không xúc phạm
3493,,Mặt trắng bệch😂,YOUTUBE,L3,Ngọc,,Xúc phạm
4167,,t muốn làm hoàng tử của chỉ :),Tiktok,19/10/2025,Nhung,,Không xúc phạm
5245,,"Ngày xưa mà hen tóc dài là em nghĩ đứng tranh giải luôn rồi, mặt của hen quá nét",Tiktok,3/12/2025,Nhung,,Không xúc phạm
491,,Nghĩ sao nói con lợn . Cơ bắp kiểu này thì chỉ có bò pháp .,Facebook,10/20/2025 13:40:18,Nga,,Xúc phạm
7104,,đúng kiểu đẹp mình thích,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
1144,,Xinh quá ăn thôi thấy cưng quá e Ca ơi,Facebook,03/12/2025,Nga,,Không xúc phạm
6188,,"Thấy casting là không muốn xem rồi. Xấu hơn dan diễn viên cũ. Vai gia thì lại trao cho người trẻ, nhìn không có nét từng trải",VnExpress, 27/10/2025,Phúc,,Xúc phạm
5118,,đẹp quá chị,Tiktok,3/12/2025,Nhung,,Không xúc phạm
1386,,Xinh duyên thật chứ chị ơi,Facebook,03/12/2025,Nga,,Không xúc phạm
6644,,Nhã Phương trẻ và xinh quá. Hai vợ chồng cũng rất đánh yêu.,VnExpress, 14/12/2025,Phúc,,Không xúc phạm
3559,,"Nhìn em hơi già xíu, hơi nhăn xíu,hơi đen xíu, chắc em là giá 3 ngàn rồi.ok anh chốt luôn",YOUTUBE,L3,Ngọc,,Xúc phạm
4872,,chú lợn hồng đáng yêu,Tiktok,2/12/2025,Nhung,,Không xúc phạm
2463,,Kiểm tra thật kỹ tất cả các mặt hàng nhân ơi.,YOUTUBE,19/10/2025,NGỌC,,Không xúc phạm
1580,,Nhin yên nhi thấy dị kiểu j ấy,Facebook,11/12/2025,Nga,,Mỉa mai
